,ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Total_Spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
0,5524,1957,55,Undergraduates,Single,58138.0,0,0,2012-09-04,58,1617,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1
1,2174,1954,60,Undergraduates,Single,46344.0,1,1,2014-03-08,38,27,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0
2,4141,1965,48,Undergraduates,Partnered,71613.0,0,0,2013-08-21,26,776,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0
3,6182,1984,30,Undergraduates,Partnered,26646.0,1,0,2014-02-10,26,53,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0
4,5324,1981,33,Doctorates,Partnered,58293.0,1,0,2014-01-19,94,422,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0
5,7446,1967,46,Masters,Partnered,62513.0,0,1,2013-09-09,16,716,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0
6,965,1971,41,Undergraduates,Single,55635.0,0,1,2012-11-13,34,590,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0
7,6177,1985,28,Doctorates,Partnered,33454.0,1,0,2013-05-08,32,169,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0
8,4855,1974,39,Doctorates,Partnered,30351.0,1,0,2013-06-06,19,46,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1
9,5899,1950,64,Doctorates,Partnered,5648.0,1,1,2014-03-13,68,49,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0
10,1994,1983,30,Undergraduates,Partnered,51381.5,1,0,2013-11-15,11,19,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0
